Expected,Result
1000,994
1000,1005
1000,1001
1000,997
1000,1003
1000,1000
1000,988
1000,997
1000,1009
1000,993
1000,997
1000,1004
1000,1001
1000,995
1000,1005
1000,997
1000,1001
1000,1007
1000,1000
1000,1010
1000,1001
1000,997
1000,994
1000,993
1000,1004
1000,1003
1000,1005
1000,1009
1000,1000
1000,992
1000,996
1000,1001
1000,1004
1000,1001
1000,993
1000,1012
1000,1000
1000,1005
1000,997
1000,995
1000,997
1000,1004
1000,1008
1000,1008
1000,998
1000,1002
1000,1000
1000,995
1000,1003
1000,1000
1000,989
1000,993
1000,1004
1000,1001
1000,996
1000,988
1000,998
1000,1005
1000,1001
1000,1000
1000,1002
1000,1000
1000,992
1000,1008
1000,997
1000,1000
1000,998
1000,997
1000,1001
1000,998
1000,1002
1000,1002
1000,993
1000,1002
1000,1000
1000,996
1000,997
1000,997
1000,1004
1000,1005
1000,1002
1000,990
1000,1004
1000,997
1000,1000
1000,990
1000,1006
1000,1003
1000,989
1000,996
1000,996
1000,996
1000,1005
1000,992
1000,998
1000,998
1000,997
1000,1004
1000,996
1000,1002
1000,997
1000,1001
1000,985
1000,1002
1000,1003
1000,1002
1000,996
1000,998
1000,1004
1000,993
1000,997
1000,1002
1000,998
1000,997
1000,1000
1000,1006
1000,1001
1000,1007
1000,1001
1000,988
1000,996
1000,1006
1000,991
1000,998
1000,1001
1000,1010
1000,995
1000,1006
1000,1000
1000,1003
1000,1004
1000,998
1000,995
1000,1000
1000,1001
1000,988
1000,989
1000,1006
1000,1004
1000,1000
1000,1002
1000,1001
1000,1005
1000,1003
1000,995
1000,1005
1000,998
1000,1001
1000,1003
1000,1004
1000,995
1000,998
1000,1004
1000,994
1000,1004
1000,998
1000,1004
1000,1000
1000,998
1000,1000
1000,1003
1000,992
1000,1006
1000,997
1000,997
1000,996
1000,996
1000,1004
1000,996
1000,1000
1000,1009
1000,997
1000,1005
1000,1001
1000,998
1000,997
1000,998
1000,1006
1000,995
1000,1007
1000,994
1000,998
1000,1007
1000,1003
1000,993
1000,1005
1000,997
1000,1006
1000,1001
1000,992
1000,996
1000,997
1000,1002
1000,1002
1000,1002
1000,1006
1000,997
1000,997
1000,996
1000,1005
1000,1000
1000,996
1000,993
1000,1003
1000,994
1000,1001
1000,1005
1000,992
1000,1007
1000,1000
1000,991
1000,1005
1000,1003
1000,1001
1000,994
1000,1000
1000,1001
1000,1001
1000,993
1000,1003
1000,1007
1000,1002
1000,1003
1000,997
1000,1001
1000,998
1000,993
1000,994
1000,995
1000,994
1000,1003
1000,1007
1000,1006
1000,1011
1000,992
1000,994
1000,1011
1000,988
1000,993
1000,1004
1000,1001
1000,1000
1000,994
1000,1002
1000,994
1000,996
1000,986
1000,994
1000,993
1000,998
1000,1001
1000,993
1000,998
1000,1005
1000,1005
1000,991
1000,993
1000,1005
1000,1003
1000,994
1000,1005
1000,1002
1000,998
1000,997
1000,988
1000,995
1000,1005
1000,996
1000,1001
1000,996
1000,1003
1000,1005
1000,1004
1000,996
1000,998
1000,995
1000,1003
1000,997
1000,1002
1000,992
1000,1002
1000,1001
1000,1004
1000,997
1000,994
1000,995
1000,1001
1000,1000
1000,1000
1000,1000
1000,1001
1000,1000
1000,993
1000,997
1000,1002
1000,1000
1000,1004
1000,1000
1000,998
1000,998
1000,993
1000,996
1000,996
1000,1005
1000,992
1000,992
1000,993
1000,997
1000,998
1000,994
1000,1001
1000,997
1000,1003
1000,1003
1000,997
1000,1002
1000,996
1000,1017
1000,995
1000,998
1000,998
1000,996
1000,1001
1000,1002
1000,1002
1000,998
1000,1002
1000,1004
1000,1007
1000,996
1000,1003
1000,991
1000,996
1000,1000
1000,1007
1000,1003
1000,995
1000,997
1000,1003
1000,997
1000,1004
1000,1002
1000,1000
1000,1000
1000,1003
1000,1002
1000,1002
1000,1003
1000,997
1000,1006
1000,988
1000,992
1000,997
1000,1004
1000,996
1000,995
1000,997
1000,985
1000,1004
1000,1004
1000,1006
1000,1003
1000,993
1000,1007
1000,1002
1000,998
1000,1001
1000,1005
1000,996
1000,994
1000,993
1000,997
1000,1003
1000,1003
1000,1005
1000,1008
1000,988
1000,1003
1000,994
1000,995
1000,990
1000,1006
1000,991
1000,1005
1000,1006
1000,996
1000,992
1000,998
1000,993
1000,995
1000,994
1000,995
1000,1000
1000,1002
1000,996
1000,1000
1000,1007
1000,1004
1000,1005
1000,1008
1000,997
1000,997
1000,1002
1000,1000
1000,1000
1000,997
