K,R,Expected,Result,Error
20000,1000000,1000000,1.01022e+06,0.0102155
40000,1000000,1000000,997743,0.00225728
60000,1000000,1000000,1.00178e+06,0.00178058
80000,1000000,1000000,1.00215e+06,0.00215034
100000,1000000,1000000,1.00143e+06,0.00143215
120000,1000000,1000000,1.00068e+06,0.000683935
140000,1000000,1000000,999947,5.34633e-05
160000,1000000,1000000,1.00187e+06,0.00186936
180000,1000000,1000000,1.00025e+06,0.000252843
200000,1000000,1000000,1.00122e+06,0.00122441
220000,1000000,1000000,1.00112e+06,0.00111947
240000,1000000,1000000,999808,0.000191622
260000,1000000,1000000,1.00023e+06,0.000232774
280000,1000000,1000000,1.00195e+06,0.00195403
300000,1000000,1000000,998911,0.00108882
320000,1000000,1000000,1.00015e+06,0.000148957
340000,1000000,1000000,1.00057e+06,0.000565133
360000,1000000,1000000,1.00011e+06,0.000112534
380000,1000000,1000000,1.00042e+06,0.000418743
400000,1000000,1000000,1.00046e+06,0.0004579
420000,1000000,1000000,1.00053e+06,0.000526476
440000,1000000,1000000,1.00025e+06,0.0002512
460000,1000000,1000000,1.00003e+06,3.261e-05
480000,1000000,1000000,1.00042e+06,0.000420142
500000,1000000,1000000,999864,0.000135978
520000,1000000,1000000,1.00043e+06,0.000432173
540000,1000000,1000000,1.00002e+06,2.13066e-05
560000,1000000,1000000,1.00002e+06,2.14295e-05
580000,1000000,1000000,1.00045e+06,0.000446881
600000,1000000,1000000,1.00027e+06,0.000270908
620000,1000000,1000000,999989,1.12849e-05
640000,1000000,1000000,999624,0.000376301
660000,1000000,1000000,1.00026e+06,0.000256128
680000,1000000,1000000,1.00052e+06,0.000522334
700000,1000000,1000000,1.00019e+06,0.000193614
720000,1000000,1000000,1.00097e+06,0.000967645
740000,1000000,1000000,1.00058e+06,0.000577367
760000,1000000,1000000,1.00041e+06,0.000413329
780000,1000000,1000000,1.00044e+06,0.000438015
800000,1000000,1000000,1.00025e+06,0.000251313
820000,1000000,1000000,1.00036e+06,0.000363558
840000,1000000,1000000,1.00044e+06,0.000441864
860000,1000000,1000000,1.00005e+06,4.94211e-05
880000,1000000,1000000,1.00019e+06,0.000193219
900000,1000000,1000000,1.00034e+06,0.000344008
920000,1000000,1000000,1.00007e+06,7.22891e-05
940000,1000000,1000000,1.00023e+06,0.00023304
960000,1000000,1000000,1.00013e+06,0.000133352
980000,1000000,1000000,1.00009e+06,9.03147e-05
