K,R,Expected,Result,Error
200,10000,10000,9170.51,0.0829493
400,10000,10000,9151.38,0.0848624
600,10000,10000,9201.23,0.0798771
800,10000,10000,9455.62,0.0544379
1000,10000,10000,9624.28,0.0375723
1200,10000,10000,9700.65,0.0299353
1400,10000,10000,9831.34,0.0168658
1600,10000,10000,9852.13,0.0147874
1800,10000,10000,9862.94,0.0137061
2000,10000,10000,9940.33,0.00596718
2200,10000,10000,10009.1,0.000910332
2400,10000,10000,10067.1,0.00671423
2600,10000,10000,10077.5,0.00775494
2800,10000,10000,10178.2,0.0178182
3000,10000,10000,10207.6,0.0207624
3200,10000,10000,10053.4,0.00534255
3400,10000,10000,10038.4,0.00383934
3600,10000,10000,9969.53,0.00304709
3800,10000,10000,9973.75,0.00262536
4000,10000,10000,9985.02,0.00149813
4200,10000,10000,9985.73,0.00142687
4400,10000,10000,9981.85,0.00181529
4600,10000,10000,9973.98,0.00260247
4800,10000,10000,9987.51,0.0012487
5000,10000,10000,9950.24,0.00497611
5200,10000,10000,9963.59,0.00364124
5400,10000,10000,9964.93,0.00350683
5600,10000,10000,9978.61,0.00213866
5800,10000,10000,10000,0
6000,10000,10000,9970.08,0.00299152
6200,10000,10000,9988.72,0.00112794
6400,10000,10000,9982.84,0.00171607
6600,10000,10000,10012.1,0.00121378
6800,10000,10000,10011.8,0.00117803
7000,10000,10000,9992.86,0.000713878
7200,10000,10000,9995.83,0.000416551
7400,10000,10000,10005.4,0.000540906
7600,10000,10000,10006.6,0.000658415
7800,10000,10000,10027,0.00269992
8000,10000,10000,10036.4,0.00363864
8200,10000,10000,10034.3,0.00342675
8400,10000,10000,10039.4,0.00394454
8600,10000,10000,10032.7,0.00326683
8800,10000,10000,10036.5,0.00365005
9000,10000,10000,10036.8,0.00368057
9200,10000,10000,10022.9,0.00228808
9400,10000,10000,9998.94,0.000106383
9600,10000,10000,9995.83,0.000416536
9800,10000,10000,9997.96,0.000204061
